GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tracker,com.laplateforme.tracker.util,DatabaseConnection,103,16,15,3,21,5,11,2,3,1
tracker,com.laplateforme.tracker.util,Validator,5,104,1,33,2,24,2,19,1,3
tracker,com.laplateforme.tracker,Main,12,0,0,0,5,0,3,0,3,0
tracker,com.laplateforme.tracker.view,StatsView,130,0,0,0,21,0,5,0,5,0
tracker,com.laplateforme.tracker.view,RegisterView,249,0,4,0,49,0,6,0,4,0
tracker,com.laplateforme.tracker.view,StudentListView,1660,0,80,0,263,0,84,0,41,0
tracker,com.laplateforme.tracker.view,LoginView,158,0,2,0,33,0,7,0,6,0
tracker,com.laplateforme.tracker.view,StudentFormView,259,0,18,0,45,0,13,0,4,0
tracker,com.laplateforme.tracker.view,MainView,286,0,12,0,59,0,17,0,11,0
tracker,com.laplateforme.tracker.service,ImportExportService.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tracker,com.laplateforme.tracker.service,ImportExportService,0,162,1,9,0,36,1,9,0,5
tracker,com.laplateforme.tracker.service,AuthService,67,6,2,0,20,2,3,1,2,1
tracker,com.laplateforme.tracker.service,BackupService,82,0,2,0,23,0,4,0,3,0
tracker,com.laplateforme.tracker.controller,SearchController,15,28,0,0,2,6,1,2,1,2
tracker,com.laplateforme.tracker.controller,AuthController,0,54,0,16,0,12,0,11,0,3
tracker,com.laplateforme.tracker.controller,ImportExportController,58,0,0,0,18,0,5,0,5,0
tracker,com.laplateforme.tracker.controller,StatsController,0,229,0,28,0,17,0,29,0,15
tracker,com.laplateforme.tracker.controller,StudentController,53,141,2,6,13,28,6,9,4,7
tracker,com.laplateforme.tracker.model.dao,StudentDAOImpl,745,6,82,0,145,2,58,1,17,1
tracker,com.laplateforme.tracker.model,User,33,0,0,0,11,0,8,0,8,0
tracker,com.laplateforme.tracker.model,Student,0,81,0,0,0,27,0,15,0,15
